,tag,ymd,min,max,count
0,AAPL,2023-04-13,2023-04-13 04:33:10+00:00,2023-04-13 10:16:53+00:00,431
1,AAPL,2023-04-18,2023-04-18 02:59:27+00:00,2023-04-18 20:14:24+00:00,3960
2,AMC,2023-04-07,2023-04-07 09:55:15+00:00,2023-04-07 15:06:15+00:00,667
3,AMZN,2023-04-28,2023-04-28 14:35:36+00:00,2023-04-28 23:59:48+00:00,2242
4,AMZN,2023-04-29,2023-04-29 00:00:17+00:00,2023-04-29 10:09:47+00:00,604
5,APPL,2023-04-12,2023-04-12 04:08:18+00:00,2023-04-12 13:14:24+00:00,24
6,BBBY,2023-04-24,2023-04-24 05:24:51+00:00,2023-04-24 23:59:05+00:00,3047
7,BBBY,2023-04-25,2023-04-25 00:00:06+00:00,2023-04-25 23:59:41+00:00,2329
8,BBBY,2023-04-26,2023-04-26 00:00:10+00:00,2023-04-26 00:53:17+00:00,56
9,CRE,2023-04-16,2023-04-16 14:21:58+00:00,2023-04-16 18:22:54+00:00,6
10,FRC,2023-04-01,2023-04-01 12:41:54+00:00,2023-04-01 23:51:28+00:00,168
11,FRC,2023-04-02,2023-04-02 00:01:42+00:00,2023-04-02 15:19:51+00:00,176
12,FRC,2023-04-11,2023-04-11 02:20:10+00:00,2023-04-11 17:35:38+00:00,420
13,FRC,2023-04-22,2023-04-22 03:52:07+00:00,2023-04-22 23:56:32+00:00,280
14,FRC,2023-04-23,2023-04-23 00:00:17+00:00,2023-04-23 23:42:24+00:00,345
15,FRC,2023-04-24,2023-04-24 00:05:14+00:00,2023-04-24 23:59:48+00:00,2808
16,FRC,2023-04-25,2023-04-25 00:00:57+00:00,2023-04-25 23:58:55+00:00,4839
17,FRC,2023-04-26,2023-04-26 00:00:10+00:00,2023-04-26 23:59:37+00:00,5415
18,FRC,2023-04-27,2023-04-27 00:00:07+00:00,2023-04-27 06:45:47+00:00,550
19,FRC,2023-04-30,2023-04-30 03:55:29+00:00,2023-04-30 23:59:56+00:00,1375
20,MSFT,2023-04-21,2023-04-21 05:03:50+00:00,2023-04-21 10:01:54+00:00,178
21,MSFT,2023-04-26,2023-04-26 02:16:37+00:00,2023-04-26 08:46:14+00:00,795
22,NFLX,2023-04-17,2023-04-17 05:22:36+00:00,2023-04-17 23:58:46+00:00,1584
23,NFLX,2023-04-18,2023-04-18 00:00:03+00:00,2023-04-18 23:59:51+00:00,4954
24,NFLX,2023-04-19,2023-04-19 00:00:03+00:00,2023-04-19 23:59:29+00:00,3154
25,NFLX,2023-04-20,2023-04-20 00:00:03+00:00,2023-04-20 04:45:38+00:00,190
26,NVDA,2023-04-05,2023-04-05 14:35:14+00:00,2023-04-05 23:58:40+00:00,1922
27,NVDA,2023-04-06,2023-04-06 00:00:00+00:00,2023-04-06 23:59:55+00:00,2756
28,NVDA,2023-04-07,2023-04-07 00:00:07+00:00,2023-04-07 23:59:55+00:00,2327
29,NVDA,2023-04-08,2023-04-08 00:00:15+00:00,2023-04-08 23:57:45+00:00,933
30,NVDA,2023-04-09,2023-04-09 00:03:13+00:00,2023-04-09 11:28:13+00:00,215
31,NVDA,2023-04-16,2023-04-16 04:22:47+00:00,2023-04-16 23:59:05+00:00,1232
32,NVDA,2023-04-17,2023-04-17 00:00:01+00:00,2023-04-17 23:59:14+00:00,2180
33,NVDA,2023-04-18,2023-04-18 00:00:34+00:00,2023-04-18 23:59:31+00:00,3925
34,NVDA,2023-04-19,2023-04-19 00:00:23+00:00,2023-04-19 05:43:14+00:00,298
